english,polish
squeals,Piszki
evidently,widocznie
mildred,Mildred
caitlin,Caitlin
dubai,Dubai
lantern,latarnia
combine,połączyć
nero,Nero
trey,Trey
toughest,najtrudniejsze
limp,utykać
implying,sugerując
matrix,matryca
dots,kropki
kilometres,kilometry
evacuation,ewakuacja
earliest,najwcześniej
incompetent,niekompetentny
closure,zamknięcie
descent,zejście
parachute,spadochron
analyze,analizować
crushing,miażdżący
classmates,koledzy z klasy
excessive,nadmierny
tighter,ciaśniejszy
hump,garb
fuzzy,zamazany
tad,berbeć
punishing,karanie
pageant,korowód
wan,blady
reveals,ujawnia
wildlife,dzikiej przyrody
clare,Clare
poking,szturchanie
rehearsing,próby
homecoming,powrót
swelling,obrzęk
shrieking,Wrzeszcze
squawking,Squawking
tardis,TARDIS
caine,Caine
statues,posągi
practiced,doświadczony
christianity,chrześcijaństwo
hazard,zaryzykować
stretched,rozciągnięty
dea,Dea
trudy,Trudy
slug,ślimak
frustration,udaremnienie
edie,Edie
deception,oszustwo
lillian,Lillian
trespassing,wtargnięcie
elimination,eliminacja
comforting,pocieszający
len,Len
preach,kazanie
practise,ćwiczyć
damages,odszkodowanie
ex-boyfriend,były chłopak
exits,Wyjścia
yer,Yer
appointments,spotkania
significance,znaczenie
drummer,perkusista
specimen,próbka
voodoo,wiara w czary
cleo,Cleo
misunderstand,źle zrozumieć
asthma,astma
errands,sprawunki
hypocrite,hipokryta
snorts,Snors
advocate,rzecznik
cutie,Cutie
obtained,uzyskany
cristina,Cristina
radioactive,radioaktywny
richmond,Richmond
ideals,ideały
apprentice,uczeń
unreasonable,nierozsądny
inmate,więzień
siege,oblężenie
cobra,kobra
increases,wzrasta
harbour,port
90s,lata 90
illegally,nielegalnie
rattle,grzechotka
trim,przycinać
noodle,makaron
antibiotics,Antybiotyki
mattered,miał znaczenie
declaration,deklaracja
virtual,wirtualny
intuition,intuicja
revs,Revs
darcy,Darcy
scales,waga
testified,zeznał
gigi,Gigi
twenty-five,dwadzieścia pięć
bypass,objazd
pneumonia,zapalenie płuc
manly,męski
medicines,leki
slowing,Spowolnienie
groan,jęk
dungeon,loch
chaps,CHAPS
ncis,NCIS
consequence,konsekwencja
intercept,przechwycić
badass,skurczybyk
examples,przykłady
fists,pięści
klink,Klink
substantial,istotny
brag,przechwalać
pitcher,dzban
onboard,na pokładzie
amigo,Amigo
courtyard,dziedziniec
royalty,rodzina królewska
spontaneous,spontaniczny
ca,ca
restroom,ubikacja
peep,ćwierkanie
negotiating,negocjowanie
ache,boleć
swat,pacnięcie
emerge,pojawić się
gambler,hazardzista
references,Bibliografia
bonjour,Bonjour
darkest,najciemniejszy
insecure,niepewny
attendant,obsługujący
sympathetic,współczujący
lila,Lila
heroine,bohaterka
choked,Dused
unidentified,niezidentyfikowany
plumbing,instalacja wodociągowa
darker,ciemniejszy
ariel,Ariel
crude,surowy
dictionary,słownik
sparks,iskry
auditions,przesłuchania
demo,próbny
ta-da,ta-da
oppose,sprzeciwiać się
fingernails,paznokcie
mineral,minerał
collateral,zabezpieczenie
istanbul,Stambuł
venom,jad
tempting,kuszący
relay,przekaźnik
bamboo,bambus
particle,cząstka
ying,Ying
torres,Torres
broadcasting,nadawanie
banking,Bankowość
reminding,przypominanie
cassidy,Cassidy
axl,axl
ferguson,Ferguson
estimated,szacowany
hebrew,hebrajski
electronics,elektronika
octopus,ośmiornica
meaningful,znaczący
stranded,na mieliźnie
daytime,dzień
dowry,posag
starved,zagłodzony
ex-girlfriend,była dziewczyna
collision,kolizja
admitting,Przyznaje się
comeback,Wróć
hungarian,język węgierski
faculty,Wydział
operative,operacyjny
liza,Liza
tenants,najemcy
revealing,odkrywczy
ko,Ko
ounce,uncja
mediterranean,śródziemnomorski
gadget,urządzenie
paramedics,Sanitariusze
console,konsola
cyril,Cyril
drawers,szuflady
caravan,karawana
spinal,rdzeniowy
bummer,porażka
crippled,kaleki
bled,Bled
defy,przeciwstawiać się
luna,Luna
herbs,zioła
hwang,Hwang
queue,kolejka
blinded,oślepiony
studios,Studia
9th,9
goddammit,niech to szlag
recess,wgłębienie
countdown,Odliczanie
maddy,Maddy
dracula,Dracula
alarms,alarmy
gaining,zdobywanie
quarterback,rozgrywający
maxine,Maxine
eminence,eminencja
willingly,chętnie
investigators,śledczy
speculation,spekulacja
tο,Do
clearer,wyraźniejszy
gino,Gino
cheeky,bezczelny
powerless,bezsilny
lapd,LAPD
cruelty,okrucieństwo
external,zewnętrzny
arjun,Arjun
quarantine,kwarantanna
shush,Shush
allegations,zarzuty
tito,Tito
sands,piaski
spelling,pisownia
che,Che
headline,nagłówek
taliban,Taliban
tablet,tablet
founder,założyciel
gandhi,Gandhi
squash,zdusić
josie,Josie
jets,Jets
saloon,salon
tuition,czesne
tame,oswojony
occasional,okolicznościowy
apologized,przeprosił
clinical,kliniczny
serpent,wąż
criticism,krytyka
sawyer,tracz
fading,zblakły
viktor,Viktor
prop,rekwizyt
shoved,wepchnięty
mend,zaszyć
lonesome,samotny
separately,osobno
reg,Reg
evie,Evie
waitin,Czekaj
n,n
legion,legion
tsk,TSK
arabs,Arabowie
accompanied,towarzyszy
tread,nadepnąć
findings,Wyniki
toronto,Toronto
exploit,wykorzystać
proposing,proponowanie
shi,Shi
scorpion,Skorpion
of-,z-
zoey,Zoey
curb,krawężnik
opium,opium
athletic,atletyczny
bombed,zbombardowane
jumper,skoczek
weaker,słabszy
suing,pozew
bianca,Bianca
seminar,seminarium
confirms,potwierdza
commence,rozpocząć
plains,Równiny
debra,Debra
readers,czytelnicy
neglected,zaniedbany
tavern,tawerna
worthwhile,wart
morale,morale
cleaners,sprzątacze
caviar,kawior
welcoming,gościnny
kimberly,Kimberly
evaluation,ocena
f.,f.
occurs,występuje
rituals,Rytuały
morton,Morton
disguised,ukryty
precision,precyzja
cube,sześcian
revelation,objawienie
titanic,tytaniczny
realizing,zrealizowanie
doggy,psi
babbling,bełkot
cheung,Cheung
dora,Dora
tenant,najemca
riches,bogactwa
diabetes,cukrzyca
alternate,alternatywny
diversion,dywersja
effectively,efektywnie
dedication,poświęcenie
wager,zakład
companions,Towarzysze
sinclair,Sinclair
bailed,Zwolnienie za kaucją
smelly,śmierdzący
ratings,oceny
trench,rów
cameraman,operator
dillon,Dillon
hawkins,Hawkins
stanton,Stanton
ajay,Ajay
edison,Edison
batter,rzadkie ciasto
dye,barwnik
abduction,uprowadzenie
prospect,perspektywa
morrison,Morrison
brighter,jaśniejszy
wider,szerszy
alma,Alma
manslaughter,zabójstwo
remedy,zaradzić
damp,wilgoć
thigh,udo
cologne,Kolonia
accusation,oskarżenie
outsider,outsider
serum,serum
whats,Co
spaces,przestrzenie
oral,doustny
shades,odcienie
woe,Biada
elise,Elise
receipts,wpływy kasowe
alias,Alias
notified,powiadomiony
apron,Fartuch
kentucky,Kentucky
vein,żyła
tonic,Tonik
squeaks,Squeaks
dim,ciemny
steep,stromy
sod,darń
presenting,przedstawianie
cinderella,Kopciuszek
cub,młode
chung,Chung
eyewitness,naoczny świadek
flattering,pochlebny
overdose,przedawkować
kathleen,Kathleen
doubled,podwojony
della,della
suckers,Sury
automobile,samochód
cain,Kain
loo,toaleta
brittany,Brittany
bullied,Prześladowany
spider-man,człowiek Pająk
humphrey,Humphrey
tyson,Tyson
kidnapper,porywacz
dispose,dysponować
margarita,Margarita
hash,haszysz
grieving,żałobny
initials,inicjały
hound,pies
boogie,Boogie
dawg,Dawg
perp,Pul
cloak,płaszcz
crabs,kraby
pastry,ciasto
successor,następca
hola,Hola
michele,Michele
cheerleader,Cheerleaderka
slips,kąpielówki
critics,krytycy
recruited,rekrutowane
macho,macho
stunned,oszołomiony
fuller,folarz
mornings,poranki
accidental,przypadkowy
lara,Lara
convey,przekazywać
prototype,prototyp
superiors,przełożeni
barcelona,Barcelona
fling,rzucać
froze,zamrozić
atoms,atomy
kidnappers,porywacze
cupcake,babeczka
athletes,Sportowcy
warsaw,Warszawa
pleasures,przyjemności
ax,topór
kumar,Kumar
uptight,spięty
inclined,skłonny
stockings,pończochy
scrooge,Skąpiec
fingerprint,odcisk palca
harmed,skrzywdzone
sensational,rewelacyjny
jockey,oszukać
mourn,opłakiwać
intercom,awiofon
tory,torys
penthouse,daszek
forthe,dla
eileen,Eileen
ginny,Ginny
quack,Kwak
peck,dziobać
gospel,ewangelia
what,Co
presumably,prawdopodobnie
signatures,podpisy
hyung,Hyung
aspects,aspekty
assumption,założenie
rumbles,Rombles
hugging,tulenie
sideways,bokiem
theodore,Teodor
organisation,organizacja
lowered,opuścił
youtube,youtube
ct,Ct
jaws,szczęki
troll,Troll
squid,kałamarnica
designers,projektanci
mushroom,Grzyb
freeway,droga wolna
believer,Wierny
possessions,dobytek
tunes,melodie
tornado,tornado
cowardly,tchórzliwy
notch,karb
routes,trasy
winters,zimy
elijah,Eliasz
annoy,drażnić
loaf,bochenek
commercials,reklamy
idiotic,idiotyczny
inconvenience,niedogodność
plum,śliwka
solicitor,adwokat
amnesia,amnezja
deborah,Deborah
distinct,odrębny
sweeping,zamaszysty
arson,podpalenie
doubted,wątpię
furthermore,Ponadto
quarry,kamieniołom
50s,50s
puss,kot
farts,Farts
guo,Guo
depot,magazyn
evenings,wieczory
ole,ole
circulation,krążenie
socialist,socjalista
melinda,Melinda
dryer,suszarka
mutters,Mruczyle
vomiting,wymioty
brock,borsuk
fei,Fei
candis,Candis
moody,kapryśny
donated,przekazane
reich,rzesza
receiver,odbiorca
semen,sperma
converted,Przekształcony
rags,łachmany
harness,ujarzmić
slate,łupek
padre,Padre
sonya,Sonya
necessity,konieczność
emails,e -maile
rumpole,Rumpole
orderly,uporządkowany
dinners,obiady
assassins,zabójcy
scold,nakrzyczeć
certainty,pewność
marian,Marian
knox,Knox
upright,pionowo
trek,wędrówka
patron,patron
reborn,odrodzony
reel,rolka
typewriter,maszyna do pisania
babes,Babes
sorrows,smutki
utmost,najwyższy
havin,Havin
patsy,Patsy
governments,rządy
bhai,Bhai
privileges,przywileje
throats,gardła
remotely,zdalnie
glee,radość
revolver,rewolwer
lockdown,zakaz wyjścia
woof,wątek
brunch,późne śniadanie
dwell,mieszkać
coyote,kojot
squat,kucać
manic,maniakalny
groove,rowek
bangkok,Bangkok
uncovered,nieosłonięty
mailbox,skrzynka pocztowa
objections,zastrzeżenia
lynch,zlinczować
scrape,zeskrobać
commandant,dowódca
swings,huśtawki
conventional,standardowy
stockholm,Sztokholm
raises,podnosi
transaction,transakcja
iced,mrożony
oy,oy
paulo,Paulo
ignition,zapłon
beaches,plaże
interpol,interpol
epidemic,epidemia
honoured,zaszczycony
shaggy,kudłaty
friggin,cholera
policies,Zasady
statistics,Statystyka
shattering,przygniatający
bah,Bah
intercourse,stosunek płciowy
charms,urok
flashing,błyskowy
destructive,destrukcyjny
grilled,grillowany
oregon,Oregon
copied,skopiowane
hookers,prostytutki
paycheck,wypłata
solitude,samotność
panther,pantera
performances,występy
maids,pokojówki
exhausting,wyczerpujący
lambert,Lambert
omega,omega
belgium,Belgia
stationed,stacjonowane
yankees,Jankesi
liability,obciążenie
x-rays,promieniowanie rentgenowskie
whichever,którykolwiek
hunk,przystojniak
trout,pstrąg
crystals,kryształy
learns,uczy się
repent,żałować
prosperity,dobrobyt
literary,literacki
assembled,zmontowane
ounces,uncje
martyr,męczennik
northwest,północny zachód
connecticut,Connecticut
privileged,uprzywilejowany
webster,Webster
excess,nadmiar
unemployment,bezrobocie
viking,wiking
blackmailing,szantażowanie
munich,Monachium
install,zainstalować
arrogance,arogancja
jeopardy,niebezpieczeństwo
hacker,haker
tongues,języki
pleases,przyjemne
reset,Resetowanie
risen,wzrosła
dependent,zależny
sued,pozwany
perkins,Perkins
goons,Goons
macleod,MacLeod
milady,Milady
wolfe,Wolfe
abnormal,nieprawidłowy
bandage,bandaż
heed,zwracać uwagę
mabel,Mabel
pronounced,wyraźny
bullying,znęcanie się
charter,czarter
shelley,Shelley
turks,Turcy
litter,śmieci
standby,czekaj
izzy,Izzy
ltd,Sp. z o.o
peaches,brzoskwinie
angles,kąty
kerry,Kerry
here-,tutaj-
baths,łaźnia
generate,Generować
cobb,Cobb
residue,pozostałość
composed,opanowany
paco,Paco
kilo,kilogram
immigrants,imigranci
probable,prawdopodobny
x.,x.
enjoys,cieszy się
seeks,szuka
newman,Nowy człowiek
vicinity,sąsiedztwo
flank,skrzydło
der,der
clint,Clint
functioning,funkcjonowanie
horatio,Horatio
predictable,możliwy do przewidzenia
jedi,Jedi
scrambled,Jasno
expansion,ekspansja
pittsburgh,Pittsburgh
angus,Angus
natives,tubylcy
bing,Bing
scarlet,szkarłat
itchy,swędzący
stirring,poruszający
bedrooms,sypialnie
structures,Struktury
penn,Penn
ensign,chorąży
barrels,beczki
voters,wyborcy
madeleine,Madeleine
geoff,Geoff
haste,pośpiech
existing,istniejący
mcdonald,McDonald
commotion,zamieszanie
belonging,należący
extinct,wyginąć
joints,stawy
bumper,zderzak
you`re,jesteś
mao,Mao
mare,klacz
coleman,Coleman
influenced,wpływ
heist,napad
cynical,cyniczny
input,Wejście
recite,recytować
cary,Cary
eagles,Orły
expired,wygasły
palms,dłonie
slash,ciąć
bottoms,statki
o.,o.
columbus,Kolumb
georges,Georges
vous,vous
exaggerate,wyolbrzymiać
l-,l-
guided,prowadzony
pineapple,Ananas
spence,Spence
ankles,kostki
morals,moralność
builds,kompilacje
colleen,Colleen
posing,pozowanie
fireman,strażak
thorn,cierń
communities,społeczności
lawson,Lawson
workout,ćwiczyć
extraterrestrial,pozaziemskie
raylan,Raylan
conceived,opracował
tightly,ciasno
orlando,Orlando
tennessee,Tennessee
yeon,yeon
diaz,Diaz
fraser,Fraser
sleeves,rękawy
vacant,pusty
infantry,piechota
gallagher,Gallagher
booking,rezerwować
oranges,pomarańcze
rhodes,Rhodes
breakup,zerwać
layla,Layla
purity,czystość
honourable,honorowy
militia,milicja
j.d.,J.D.
mechanics,mechanika
mackenzie,Mackenzie
bronx,Bronx
realizes,zdaje sobie sprawę
hasty,pochopny
colorful,kolorowy
ramp,rampa
boulevard,bulwar
xavier,Xavier
intriguing,intrygancki
rook,wieża
papi,Papi
callen,Callen
atm,bankomat
acquire,nabywać
necks,szyje
sinners,grzesznicy
gents,Ogłoszenia
episodes,odcinki
oswald,Oswald
dedicate,dedykować
rests,odpoczywa
pi,Liczba Pi
okay.,w porządku.
milord,milord
debut,debiut
interviewing,Wywiad
occupy,zająć
aimed,celowane
emerged,pojawił się
sloan,Sloan
restraining,ograniczenie
cod,dorsz
clarity,przejrzystość
daft,stuknięty
islamic,islamski
calculated,obliczony
lakes,jeziora
grumpy,zrzędliwy
ki,ki
picasso,Picasso
eddy,wir
consulting,ordynacyjny
obstacles,przeszkody
pesos,pesos
nicolas,Nicolas
plotting,konspiratorstwo
infirmary,szpital
sermon,kazanie
manipulated,manipulowany
scratches,zadrapania
aidan,Aidan
deeks,Deeks
critic,krytyk
greasy,tłusty
seung,Seung
zealand,Zelandia
supports,wsparcie
anatomy,anatomia
agreeing,Zgadzam się
straightforward,bezpośredni
prejudice,uprzedzenie
placing,umieszczenie
flare,migotać
milky,mleczny
masterchef,szef kuchni
vladimir,Vladimir
premiere,premiera
glamorous,czarujący
cinnamon,cynamon
syd,Syd
referee,sędzia
threshold,próg
civilisation,cywilizacja
sensor,czujnik
tends,dąży do
louisa,Louisa
savages,dzikusi
emil,Emil
torpedo,torpeda
ere,ere
housewife,gospodyni domowa
tours,wycieczki
fossil,skamieniałość
replied,odpowiedział
abdomen,brzuch
soak,moczyć
contestants,uczestnicy
stretching,rozciąganie
princes,książęta
hoffman,Hoffman
truman,Truman
bumps,guzy
educational,edukacyjny
outfits,stroje
resurrection,zmartwychwstanie
latte,latte
huang,Huang
politically,politycznie
pratt,Pratt
whoosh,Whoosh
françois,François
ds,ds
wiser,mądrzejszy
rejection,odmowa
clutch,sprzęgło
fusion,połączenie
j.j.,J.J.
gloomy,ponury
madly,bezrozumnie
cambridge,Cambridge
cocktails,koktajle
lighthouse,latarnia morska
treatments,zabiegi
chronic,chroniczny
fluids,płyny
deleted,usunięte
sustain,podtrzymywać
stanford,Stanford
ahmed,Ahmed
couid,Couid
buyers,kupujący
valet,kamerdyner
darius,Darius
nobel,Nobel
sank,zatonął
southeast,Południowo -wschód
condemn,potępiać
resemblance,podobieństwo
suicidal,samobójczy
wed,poślubić
packages,pakiety
taped,nagrane
avatar,awatara
wireless,bezprzewodowy
paddle,wiosłować
lice,wszy
tablets,tabletki
spreads,spready
itch,swędzenie
gibberish,szwargot
ingredient,składnik
emilio,Emilio
prevented,zapobiegane
withdrawal,wycofanie
porno,porno
pry,Wtrącać się
sexuality,seksualność
br,Br
vinnie,Vinnie
oh-oh,Oh-oh
considerate,uważny
sovereign,suwerenny
pas,pierwszeństwo
voicemail,poczta głosowa
é,mi
cadet,kadet
clarify,wyjaśniać
immature,niedojrzały
t-shirts,T-shirty
marguerite,Marguerite
banished,wygnany
chemo,Chemo
nicki,Nicki
dairy,mleczarnia
attach,przytwierdzać
murdock,Murdock
sliding,przesuwny
spectacle,spektakl
pushes,popycha
yin,yin
delusional,urojenia
allegiance,wierność
slope,nachylenie
pooja,Pooja
awareness,świadomość
jed,Jed
decker,Decker
dino,Dino
roaming,roaming
shores,brzegi
l`m,l`m
competitors,konkurenci
tomas,Tomas
overreacting,nadmiernie reakcja
observing,Obserwacja
paste,pasta
wits,rozum
fiery,ognisty
typically,zazwyczaj
eclipse,zaćmienie
produces,produkuje
oysters,ostrygi
scraping,skrobanie
pros,profesjonaliści
impose,narzucać
revenue,przychód
alabama,Alabama
departed,odszedł
user,użytkownik
cracker,krakers
hu,Hu
undoubtedly,niewątpliwie
arnie,Arnie
mozart,Mozart
dent,wygięcie
charmed,Urocze
spiral,spirala
scans,skany
hmmm,hmmm
ka,Ka
louisiana,Luizjana
rumour,plotka
kirsten,Kirsten
touchdown,przyziemienie
nadine,Nadine
posh,wykwintny
correction,korekta
mornin,Mornin
chubby,pyzaty
manifest,oczywisty
safest,Najbezpieczniejsze
steroids,steroidy
fleeing,Uciekanie
genie,dżin
dakota,Dakota
witchcraft,czary
sí,si
archives,archiwa
trance,trans
symphony,symfonia
traumatic,traumatyczny
rocco,Rocco
skipping,skaczący
frequent,częsty
modeling,modelowanie
sporting,sportowy
affecting,wpływający
spacecraft,statek kosmiczny
negotiation,negocjacja
talbot,Talbot
reno,Reno
benton,Benton
calculate,Oblicz
fiddle,skrzypce
sails,Żagle
stein,Stein
persistent,uporczywy
despicable,podły
bruise,siniak
salem,Salem
escapes,ucieka
mischief,psota
mckay,McKay
cupcakes,babeczki
brussels,Bruksela
arc,łuk
ripper,rozpruwacz
ritchie,Ritchie
hara,Hara
vitamins,Witaminy
cognac,Koniak
careers,kariera
sim,Sim
caps,Czapki
imbecile,imbecyl
steaks,steki
cove,zatoczka
lair,leże
directing,kierowniczy
stepfather,ojczym
slammed,zatrzasnął
viral,wirusowy
congregation,kongregacja
illinois,Illinois
helicopters,helikoptery
coco,kokosowiec
crisp,chrupiący
outrage,skandal
flexible,elastyczny
goo,maź
licking,lizanie
funk,boj
ice-cream,lody
prefers,preferują
tao,Tao
captive,jeniec
montreal,Montreal
zen,Zen
cee,CEE
knuckles,Knuckles
canteen,kantyna
credibility,wiarygodność
disconnected,niepowiązany
flats,mieszkania
controversial,kontrowersyjny
enthusiastic,entuzjastyczny
janey,Janey
cork,korek
priorities,Priorytety
acute,ostry
icy,lodowaty
wormhole,tunel czasoprzestrzenny
flyer,ulotka
bladder,pęcherz moczowy
caretaker,dozorca
pep,werwa
roommates,współlokatorzy
programming,programowanie
grape,winogrono
astronauts,Astronauci
drained,osuszony
metallic,metaliczny
sergio,Sergio
seldom,rzadko
destroys,niszczy
riders,Jeźdźcy
poetic,poetycki
hacking,hakerstwo
transported,przewieziony
contaminated,zanieczyszczone
duct,kanał
dimensions,wymiary
insensitive,niewrażliwy
echoes,echa
initiate,zainicjować
nonetheless,niemniej jednak
emmett,Emmett
grinding,szlifowanie
composition,kompozycja
adjourned,odroczony
indulge,pobłażać
wrench,klucz
flaw,wada
messiah,Mesjasz
concluded,podsumowano
accustomed,przyzwyczajony
napkin,serwetka
30s,30s
movin,Movin
i-it,I-IT
doorway,wejście
muddy,zmącić
steph,Steph
saturn,Saturn
intentionally,celowo
chiming,chiming
canned,w puszkach
appearing,pojawiający się
ballistics,balistyka
nicked,Nicked
suction,ssanie
hideout,kryjówka
startled,zaskoczony
replacing,zastąpienie
solemn,uroczysty
pillows,poduszki
submitted,złożony
francesca,Francesca
override,nadpisanie
carver,rzeźbiarz
lea,polanka
mateo,Mateo
mosquito,komar
fragrance,zapach
pennies,grosze
detained,zatrzymany
meadow,łąka
chopping,okazały
satellites,satelity
cables,kable
youngsters,małe dzieci
needy,potrzebujący
refugee,uchodźca
luc,Luc
whitey,biały człowiek
inhabitants,mieszkańcy
yun,Yun
break-in,włamać się
harassing,niepokojenie
ro,ro
interpretation,interpretacja
il,il
burying,Burowanie
bree,Bree
incomplete,niekompletny
blimey,Blimey
titan,tytan
retard,opóźniać
agatha,Agata
dilemma,dylemat
mutt,błazen
prominent,znaczący
temples,skronie
hoover,odkurzacz
lindsey,Lindsey
cesar,Cesar
temp,Temp
consul,konsul
hairdresser,fryzjer
planting,sadzenie
drones,Drony
justified,usprawiedliwiony
jensen,Jensen
stuffing,nadziewanie
norwegian,norweski
dork,Dork
stalling,przeciągnięcie
birthdays,Urodziny
intimacy,intymność
tucked,schowany
examiner,egzaminator
qualify,zakwalifikować
imminent,nadciągający
masked,zamaskowany
diesel,diesel
meditation,medytacja
bulk,Wielka ilość
allie,Allie
prosecute,zaskarżyć
mumbles,mamrocze
defined,zdefiniowane
oklahoma,Oklahoma
paw,łapa
default,domyślna
crawled,czołgał się
doughnuts,pączki
margot,Margot
haunting,natarczywy
staircase,klatka schodowa
advances,postępy
solutions,rozwiązania
plaster,gips
proceedings,obrady
amends,odszkodowanie
fraternity,braterstwo
freud,Freud
cannons,armaty
kendall,Kendall
armored,opancerzony
colonies,kolonie
perez,Perez
birdie,ptaszyna
volcanic,wulkaniczny
samson,Samson
cleopatra,Kleopatra
carve,rzeźbić
fishermen,rybacy
brink,skraj
playin,Playin
martian,Marsjan
hybrid,hybrydowy
knockout,Nokaut
chunk,kawałek
constructed,zbudowana
confiscated,skonfiskowany
interrogate,przesłuchać
voyager,podróżnik
oprah,Oprah
commerce,handel
t.j.,T.J.
tasks,zadania
precaution,ostrożność
printer,drukarka
finishes,Wykończenia
rossi,Rossi
boob,gafa
nagging,dokuczliwy
stephens,Stephens
hag,wiedźma
skinner,Skinner
lunchtime,pora obiadu
imported,importowany
transcript,transkrypcja
iife,Iife
conceal,ukryć
holler,wykrzykiwać
chug,dyszeć
silas,Silas
paranoia,paranoja
compelled,zmuszony
styles,Style
airborne,samolotowy
sentiment,sentyment
syria,Syria
pea,groszek
babysitting,opiekunka do dzieci
improving,Ulepszanie
hare,zając
connects,łączy
withdrawn,wycofane
staged,wystawiany na scenie
englishman,Anglik
hopkins,Hopkins
pumps,lakierki
admirable,zachwycający
vouch,ręczyć
indicated,wskazany
reviews,Opinie
kristen,Kristen
yuki,Yuki
vey,Vey
trivial,trywialny
parcel,paczka
scroll,zwój
desired,pożądany
appealing,pociągający
weighed,ważył
l,L
designated,wyznaczony
bubba,Bubba
imprisonment,uwięzienie
ferris,Ferris
fleming,Flamand
cooling,chłodzenie
containing,zawierający
giles,Giles
impressions,Wrażenia
advantages,Zalety
cartwright,kołodziej
uncertain,niepewny
deliberate,celowy
anticipated,oczekiwany
isolate,izolować
tighten,dokręcać
corporations,korporacje
petra,Petra
venue,miejsce wydarzenia
irritating,irytujący
revolt,bunt
whatcha,co
lunar,księżycowy
rightful,prawowity
bombers,Bombowce
southwest,południowy zachód
maine,Maine
marvel,podziwiać
chained,przykuty
colder,chłodniejsze
tit,cycek
snooping,wścibianie nosa
trunks,kąpielówki
sully,kalać
excused,usprawiedliwiony
seduced,uwiedziony
communicating,przyległy
beams,Belki
bloodshed,rozlew krwi
offender,przestępca
offspring,potomstwo
monstrous,potworny
bruising,siniaki
we-,my-
doorman,portier
prohibited,zabroniony
props,rekwizyty
penetrate,przenikać
intervene,interweniować
tobias,Tobias
osaka,Osaka
aiden,Aiden
niggers,czarnuchy
cairo,Kair
jonny,Jonny
patriot,patriota
bowls,kręgle
rufus,Rufus
barton,siedziba
surgeons,Chirurdzy
pits,doły
infamous,niesławny
crooks,oszuści
shag,kudły
lettuce,sałata
exaggerating,przesadza
inferior,gorszy
zac,Zac
foryou,dla Was
boredom,nuda
amos,Amos
tolerance,tolerancja
cashier,kasjer
polls,Ankiety
caliber,kaliber
underpants,slipy
katy,Katy
seller,sprzedawca
sensed,wyczuwane
vertical,pionowy
dart,strzałka
sections,Sekcje
zipper,zamek błyskawiczny
gabby,gadatliwy
shankar,Shankar
acceptance,przyjęcie
traveler,podróżny
timeline,Oś czasu
emerald,szmaragd
gays,gejowie
pc,PC
hassle,dokuczać
thrilling,porywający
hopeful,pełen nadziei
stokes,Stokes
sneakers,trampki
conditioning,kondycjonowanie
supporters,zwolennicy
rodriguez,Rodriguez
teal,cyraneczka
insults,Obelgi
instruction,instrukcja
flipping,Odwracanie
25th,25.
clatter,brzęk
flaming,ognisty
freight,fracht
representatives,przedstawiciele
invitations,zaproszenia
undressed,rozebrany
lucille,Lucille
boiler,bojler
edo,Edo
uneasy,niespokojny
oneself,się
alfredo,Alfredo
benedict,Benedykt
davey,Davey
davies,Davies
efficiency,efektywność
that`s,to
gomez,Gomez
yelps,Yelps
counterfeit,podrobić
l-i,L-i
afterlife,życie pozagrobowe
one-way,jednokierunkowa
smiley,Smiley
twat,Twat
eccentric,ekscentryczny
wand,różdżka
vi,vi
memphis,Memphis
consume,konsumować
praised,Pochwalony
formidable,potężny
luthor,Luthor
lesser,pomniejszy
gel,żel
surrendered,poddał się
chffff00,CHFFFF00
welcomed,mile widziana
wendell,Wendell
tee,trójnik
launching,wodowanie
cocksucker,Cocksucker
crores,Crores
downs,Downs
retiring,ustępujący
spears,Włócznie
vikram,Vikram
authorization,upoważnienie
outsiders,Outsiders
pancake,naleśnik
probability,prawdopodobieństwo
accessory,akcesorium
peters,Peters
deported,deportowane
contrast,kontrast
hooks,Haczyki
remarks,uwagi
liaison,łączność
blokes,faceci
crater,krater
distribute,rozprowadzać
vocalizing,wokalizowanie
adele,Adele
chiefs,szefowie
photographed,sfotografowane
rehearsals,próby
salvatore,Salvatore
whoop,wydać okrzyk radości
credits,kredyty
shalt,Shalt
hup,Hup
stability,stabilność
woken,obudził się
stench,smród
taps,opukanie
flea,pchła
s-it,siedzieć
compelling,zniewalający
dolores,Dolores
strawberries,truskawki
allright,W porządku
convictions,przekonania
hubby,mężulek
self-esteem,poczucie własnej wartości
threatens,grożą
suburbs,peryferie
clocks,zegary
peacock,paw
bragging,chwalenie się
gabi,Gabi
hurrah,Hurra
moo,muczeć
silently,bezgłośnie
subconscious,podświadomy
fatso,grubasek
pluck,podroby
reactions,reakcje
lacks,brak
adolf,Adolf
mira,Mira
refined,rafinowany
lays,kładzie się
bungalow,dom parterowy
surge,wzrost
23rd,23
practices,praktyki
precautions,środki ostrożności
thanked,podziękowano
jody,Jody
uranium,uran
carolyn,Carolyn
menace,groźba
ernesto,Ernesto
fractured,złamane
christie,Christie
aka,znany jako
cone,stożek
sauna,sauna
extinction,wygaśnięcie
randolph,Randolph
bonding,wiązanie
equality,równość
bourgeois,burżuazyjny
insert,wstawić
csi,CSI
kiki,Kiki
teens,wiek dojrzewania
downhill,spadek
pedal,pedał
levi,Levi
peru,Peru
stables,stajnie
irving,Irving
buddhist,buddyjski
ambitions,ambicje
terrain,teren
